"Architeuthis dux","Giant squid have eyes the size of frisbees"
"Caretta caretta","Named for its large head"
"Delphinus delphis","Are accompianed by yellow fin tuna"
"Enhydra lutris","Pups and males steal food from females"
"Eumetopias jabatus","Wean their pups sowly sometime nursing as long as two years; mothers teach pups to hunt and dive"
"Galeocerdo cuvier","Swallows almost anything"
"Mirounga anugustirostris","can hold their breath for more than 100 minutes"
"Odobenus rosmarus","Use their tusks to haul their bodies from the water by hooking into the ice"
"Phoca vitulina","Harbor seals have been found basking in moored boats"
"Physeter macrocephalus","Holds breath for 2 hours underwater"
"Pinctada margaritifera","Coated with iridescent nacre"
"Thunnus albacares","Feeding frenzy of tuna drives schools of smaller fish toward the surface"
"Trichechus manatus","Evolved from four-legged land mammals more than 60 million years ago."
"Ursus maritimus","Depend on shifting pack ice for access to seals (food source)"
